X,Y,Z,label,
8.68497378631245,50.8389011449083,287.516,RTS01
8.68154842633548,50.8349963551678,350.088,RTS02
8.68372382638619,50.8327412423821,308.381,RTS03
8.67826265021051,50.8358735002072,374.958,RTS04
8.67167135239868,50.8379764759571,373.796,RTS05
8.67161288976355,50.8398554606454,333.765,RTS06
8.67180957570742,50.8420952242292,292.103,RTS07
8.67639408227355,50.8406175913113,320.883,RTS08
8.67797756425255,50.8397835659818,340.657,RTS09
8.67795475539047,50.8441969674752,287.381,RTS10
8.68188899523392,50.8397839160343,281.192,RTS11
8.67210508229654,50.832268418893,348.288,RTS12
8.67499816414477,50.8307106786348,331.202,RTS13
8.67966741282805,50.8360111054199,367.222,HOCHSITZ01
8.67968174109414,50.8360195170308,367.173,HOCHSITZ02
8.67967097141115,50.8360264928463,367.214,HOCHSITZ03
8.67965573539123,50.8360179168721,367.264,HOCHSITZ04
