label,x,y,z
conifersWest,50.8402,8.6854,308.92375
gwContainer,50.8403,8.6828,310.50325
gwSeat,50.8399,8.6831,314.078333333333
gwClimate,50.8405,8.6832,306.902
gwNorth, 50.8136, 8.683, 297.59
gatterWest,50.8416,8.685,318.25225
